epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2234.94,0.55959,0.46804,0.90787,0.89042,0.86479,0.93487,0.81713,0.60636,0.54263,0.9336,0.000746332,0.000746332,0.000746332
128,2251.34,0.55554,0.4638,0.89911,0.88708,0.85241,0.9329,0.8128,0.60404,0.54827,0.93367,0.000736382,0.000736382,0.000736382
129,2268.82,0.55567,0.46903,0.90314,0.87959,0.85141,0.93353,0.80944,0.61465,0.54726,0.94535,0.000726432,0.000726432,0.000726432
130,2286.27,0.55865,0.46647,0.90172,0.90409,0.84236,0.93553,0.81226,0.60805,0.54936,0.93518,0.000716482,0.000716482,0.000716482
131,2303.82,0.55887,0.45811,0.89472,0.89955,0.8504,0.93458,0.81772,0.60297,0.54422,0.93006,0.000706533,0.000706533,0.000706533
132,2321.71,0.54797,0.46069,0.90099,0.88434,0.86743,0.93498,0.81649,0.61076,0.53374,0.9358,0.000696583,0.000696583,0.000696583
133,2339.68,0.54729,0.44891,0.89484,0.90345,0.8455,0.92921,0.80641,0.61183,0.54488,0.93219,0.000686633,0.000686633,0.000686633
134,2357.08,0.5416,0.46242,0.89996,0.87372,0.86446,0.9301,0.80889,0.59169,0.53772,0.92901,0.000676683,0.000676683,0.000676683
135,2374.84,0.54382,0.45021,0.90164,0.89601,0.84839,0.92527,0.80644,0.60303,0.54605,0.93624,0.000666734,0.000666734,0.000666734
136,2392.09,0.54436,0.4484,0.89763,0.87244,0.85843,0.92817,0.81162,0.60529,0.55222,0.93055,0.000656784,0.000656784,0.000656784
137,2409.59,0.55172,0.45198,0.89997,0.90549,0.84839,0.93074,0.80968,0.59651,0.53308,0.93064,0.000646834,0.000646834,0.000646834
138,2427.32,0.55104,0.45644,0.90045,0.91273,0.82955,0.92737,0.80697,0.59465,0.53915,0.93386,0.000636884,0.000636884,0.000636884
139,2444.92,0.53749,0.4481,0.8967,0.89509,0.84839,0.93349,0.81254,0.60325,0.52381,0.93459,0.000626935,0.000626935,0.000626935
140,2462.25,0.54105,0.45202,0.89961,0.90023,0.82441,0.9209,0.79416,0.59975,0.54741,0.93418,0.000616985,0.000616985,0.000616985
141,2479.89,0.53454,0.44661,0.89642,0.88385,0.84438,0.92702,0.80898,0.60404,0.55829,0.9342,0.000607035,0.000607035,0.000607035
142,2497.58,0.53768,0.45171,0.90101,0.85799,0.8745,0.93017,0.81376,0.58755,0.54487,0.92783,0.000597085,0.000597085,0.000597085
143,2515.09,0.5342,0.45376,0.89733,0.89813,0.84137,0.93483,0.82255,0.59775,0.54887,0.9354,0.000587136,0.000587136,0.000587136
144,2532.54,0.52942,0.44524,0.89962,0.86031,0.88353,0.93005,0.81705,0.58939,0.55721,0.92904,0.000577186,0.000577186,0.000577186
145,2550.24,0.53448,0.44554,0.8985,0.89082,0.85199,0.93492,0.8174,0.6083,0.5545,0.93456,0.000567236,0.000567236,0.000567236
146,2567.49,0.53547,0.44565,0.89814,0.8848,0.85542,0.93485,0.81634,0.60195,0.54878,0.93,0.000557286,0.000557286,0.000557286
147,2584.46,0.53745,0.44726,0.90041,0.89971,0.83763,0.93265,0.81757,0.59946,0.55012,0.93395,0.000547337,0.000547337,0.000547337
148,2601.42,0.53204,0.44798,0.89691,0.85469,0.88755,0.93304,0.81594,0.59543,0.54465,0.92846,0.000537387,0.000537387,0.000537387
149,2618.2,0.52973,0.43375,0.89176,0.88086,0.86855,0.93214,0.81977,0.5957,0.54624,0.93444,0.000527437,0.000527437,0.000527437
150,2634.78,0.53052,0.43994,0.89731,0.87582,0.87149,0.93197,0.81012,0.59939,0.53012,0.93222,0.000517487,0.000517487,0.000517487

